task_id,name,category,version,n_param,LOC_Total,LOC_Code,LOC_Comment,Comment_Density,CC_Average,CC_Max,CC_Functions,MI_Score,MI_Rank,H_Volume,H_Difficulty,H_Effort,H_Bugs,Cognitive_CC,Max_Nesting,Avg_Func_Length,Code_Smells,Duplicate_Pct
57,gcd_batch,numerical,v1_clean,200000,37,30,0,0.0,4.0,11,4,51.01575715191367,A,120.40465370320703,2.6470588235294117,318.71820097907744,0.04013488456773568,11,4,5.0,6,0.0
57,gcd_batch,numerical,v2_medium,200000,46,40,0,0.0,4.0,11,4,47.06232224361115,A,199.7052750908657,4.0,798.8211003634628,0.06656842503028856,29,7,7.25,5,2.5
57,gcd_batch,numerical,v3_bad,200000,65,59,0,0.0,4.75,13,4,42.505502325048624,A,233.1830877661235,4.173913043478261,973.2859315455589,0.07772769592204117,54,10,11.75,9,16.949152542372882
58,modular_exponent,numerical,v1_clean,50000,44,37,0,0.0,4.5,11,4,45.76861637368972,A,328.19556203462383,5.793103448275862,1901.270842131614,0.10939852067820795,13,4,6.75,11,0.0
58,modular_exponent,numerical,v2_medium,50000,53,47,0,0.0,4.5,11,4,43.000498070092874,A,420.60075897674335,7.090909090909091,2982.441745471453,0.14020025299224778,31,7,9.0,11,2.127659574468085
58,modular_exponent,numerical,v3_bad,50000,73,67,0,0.0,5.5,13,4,38.84066657830785,A,458.59225596553296,7.2,3301.8642429518372,0.1528640853218443,59,10,13.75,16,14.925373134328359
59,newton_sqrt,numerical,v1_clean,200000,42,35,0,0.0,4.75,11,4,47.561275311850785,A,206.0894050155578,4.260869565217392,878.1200735445507,0.06869646833851926,13,4,6.25,7,2.7777777777777777
59,newton_sqrt,numerical,v2_medium,200000,51,45,0,0.0,4.75,11,4,44.40874209916051,A,289.9853819512694,4.925925925925926,1428.44651109329,0.09666179398375646,31,7,8.5,6,4.444444444444445
59,newton_sqrt,numerical,v3_bad,200000,72,66,0,0.0,6.0,13,4,39.75463745960804,A,325.70527509086565,5.068965517241379,1650.9888082192156,0.10856842503028855,60,10,13.5,12,18.181818181818183
60,polynomial_eval,numerical,v1_clean,30000,41,34,0,0.0,5.0,11,4,47.682890871421726,A,206.8201588936966,3.6346153846153846,751.711731363628,0.06894005296456554,11,4,6.0,6,0.0
60,polynomial_eval,numerical,v2_medium,30000,50,44,0,0.0,5.0,11,4,44.44652999662557,A,293.8839407528408,4.933333333333334,1449.827441047348,0.09796131358428026,29,7,8.25,5,2.272727272727273
60,polynomial_eval,numerical,v3_bad,30000,69,63,0,0.0,5.75,13,4,40.29039367847321,A,329.95954188301647,5.125,1691.0426521504594,0.10998651396100549,54,10,12.75,9,15.873015873015873
61,integral_simpson,numerical,v1_clean,10000,50,43,0,0.0,5.5,11,4,42.98794646715816,A,434.5769266126538,4.857142857142857,2110.8022149757467,0.14485897553755125,14,4,7.4,11,0.0
61,integral_simpson,numerical,v2_medium,10000,60,53,0,0.0,5.5,11,4,40.6104374982577,A,531.8850936442687,5.967391304347826,3173.9664827250385,0.17729503121475626,32,7,9.2,10,1.8867924528301887
61,integral_simpson,numerical,v3_bad,10000,83,76,0,0.0,6.5,13,4,36.43861024614382,A,571.6232213881448,6.09375,3483.329005334007,0.19054107379604826,63,10,14.2,16,17.105263157894736
62,linear_regression,numerical,v1_clean,500,51,44,0,0.0,5.5,11,4,42.62104139378923,A,457.1523513717527,4.395348837209302,2009.3440560293313,0.15238411712391756,12,4,8.5,8,0.0
62,linear_regression,numerical,v2_medium,500,60,54,0,0.0,5.5,11,4,40.30393308318483,A,555.0105324983674,5.446808510638298,3023.0360919060013,0.18500351083278913,30,7,10.75,7,1.8518518518518519
62,linear_regression,numerical,v3_bad,500,80,74,0,0.0,6.5,13,4,36.56960314833081,A,594.9547814448038,5.551020408163265,3302.606133734421,0.19831826048160126,57,10,15.5,12,13.513513513513514
